學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1055,中華醫事科技大學,D 日,M 碩士,100,44,56,26,24,13,21,5,9, -,2, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,B 四技,"2,468",840,"1,628",187,313,173,365,210,390,221,505, -, -, -, -, -, -,49,55,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,C 二技,851,167,684, -, -, -, -,84,347,78,331, -, -, -, -, -, -,5,6,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,5 五專,"3,110",666,"2,444",129,505,127,509,154,538,120,440,117,405, -, -, -, -,19,47,11 臺南市,2 技職
1055,中華醫事科技大學,N 職,M 碩士,23,11,12,6,8,3,3,2,1, -, -, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,B 四技,516,247,269,76,68,53,67,40,50,59,72, -, -, -, -, -, -,19,12,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,C 二技,773,217,556, -, -, -, -,126,301,86,244, -, -, -, -, -, -,5,11,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,2 二專,77,34,43,16,24,16,18, -, -, -, -, -, -, -, -, -, -,2,1,11 臺南市,2 技職
1056,東南科技大學,D 日,M 碩士,131,80,51,37,15,38,31,5,3, -,2, -, -, -, -, -, -, -, -,01 新北市,2 技職
1056,東南科技大學,D 日,B 四技,"3,645","2,320","1,325",551,326,470,279,492,289,644,347, -, -, -, -, -, -,163,84,01 新北市,2 技職
1056,東南科技大學,N 職,M 碩士,60,53,7,28,6,22,1,2, -,1, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1056,東南科技大學,N 修,B 四技,540,382,158,80,48,91,40,74,32,119,32, -, -, -, -, -, -,18,6,01 新北市,2 技職
1057,德明財經科技大學,D 日,M 碩士,41,21,20,7,8,9,8,3,4,2, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1057,德明財經科技大學,D 日,B 四技,"5,805","2,487","3,318",458,617,557,744,557,717,630,952, -, -, -, -, -, -,285,288,30 臺北市,2 技職
1057,德明財經科技大學,D 日,C 二技,87,30,57, -, -, -, -,6,27,24,28, -, -, -, -, -, -, -,2,30 臺北市,2 技職
1057,德明財經科技大學,N 職,M 碩士,26,15,11,9,7,2,4,1, -,3, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1057,德明財經科技大學,N 修,B 四技,320,170,150,32,32,24,25,43,33,52,45, -, -, -, -, -, -,19,15,30 臺北市,2 技職
1057,德明財經科技大學,N 修,C 二技,146,47,99, -, -, -, -,24,50,23,48, -, -, -, -, -, -, -,1,30 臺北市,2 技職
1058,明道大學,D 日,D 博士,30,17,13,2,3,4,1,1,4,4,1,3,3,1,1,2, -, -, -,07 彰化縣,1 一般
1058,明道大學,D 日,M 碩士,144,74,70,27,33,17,22,20,7,8,7,1, -,1,1, -, -, -, -,07 彰化縣,1 一般
1058,明道大學,D 日,B 學士,793,427,366,24,13,50,63,104,111,205,167, -, -, -, -, -, -,44,12,07 彰化縣,1 一般
1058,明道大學,N 職,M 碩士,41,11,30,4,19,4,7,2,2,1,2, -, -, -, -, -, -, -, -,07 彰化縣,1 一般
1058,明道大學,P 進,B 學士,368,256,112,67,29,48,25,66,17,67,35, -, -, -, -, -, -,8,6,07 彰化縣,1 一般
1060,南開科技大學,D 日,M 碩士,73,38,35,13,18,15,15,8,1,2,1, -, -, -, -, -, -, -, -,08 南投縣,2 技職
1060,南開科技大學,D 日,B 四技,"1,475","1,045",430,202,73,176,87,281,91,305,155, -, -, -, -, -, -,81,24,08 南投縣,2 技職
1060,南開科技大學,D 日,5 五專,341,297,44,35,2,54,9,64,7,60,15,74,11, -, -, -, -,10, -,08 南投縣,2 技職
1060,南開科技大學,N 職,M 碩士,51,19,32,8,13,8,16,2,2,1,1, -, -, -, -, -, -, -, -,08 南投縣,2 技職
1060,南開科技大學,N 修,B 四技,574,422,152,103,30,96,27,86,41,107,50, -, -, -, -, -, -,30,4,08 南投縣,2 技職
1060,南開科技大學,N 修,C 二技,217,88,129, -, -, -, -,29,68,57,61, -, -, -, -, -, -,2, -,08 南投縣,2 技職
1060,南開科技大學,N 修,2 二專,53,28,25,7,13,16,11, -, -, -, -, -, -, -, -, -, -,5,1,08 南投縣,2 技職
1061,中華科技大學,D 日,M 碩士,197,131,66,56,35,57,30,13,1,5, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1061,中華科技大學,D 日,B 四技,"2,335","1,663",672,270,121,331,145,394,144,528,220, -, -, -, -, -, -,140,42,30 臺北市,2 技職
1061,中華科技大學,D 日,C 二技,30,7,23, -, -, -, -,7,23, -, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1061,中華科技大學,N 職,M 碩士,98,77,21,36,7,37,13,2, -,2,1, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1061,中華科技大學,N 修,B 四技,660,528,132,153,38,115,29,115,29,128,35, -, -, -, -, -, -,17,1,30 臺北市,2 技職
1061,中華科技大學,N 修,C 二技,445,267,178, -, -, -, -,204,135,62,42, -, -, -, -, -, -,1,1,30 臺北市,2 技職
1061,中華科技大學,N 修,2 二專,121,80,41,41,27,37,11, -, -, -, -, -, -, -, -, -, -,2,3,30 臺北市,2 技職
1062,僑光科技大學,D 日,M 碩士,54,23,31,17,15,6,15, -,1, -, -, -, -, -, -, -, -, -, -,19 臺中市,2 技職
1062,僑光科技大學,D 日,B 四技,"5,271","2,323","2,948",526,569,592,750,560,705,583,867, -, -, -, -, -, -,62,57,19 臺中市,2 技職
1062,僑光科技大學,N 職,M 碩士,33,17,16,11,11,6,5, -, -, -, -, -, -, -, -, -, -, -, -,19 臺中市,2 技職
1062,僑光科技大學,N 修,B 四技,"3,542","2,131","1,411",538,313,458,282,464,313,517,410, -, -, -, -, -, -,154,93,19 臺中市,2 技職
1063,育達科技大學,D 日,M 碩士,150,58,92,27,50,17,31,5,3,9,8, -, -, -, -, -, -, -, -,05 苗栗縣,2 技職
1063,育達科技大學,D 日,B 四技,"1,262",673,589,128,150,124,121,123,122,203,133, -, -, -, -, -, -,95,63,05 苗栗縣,2 技職
1063,育達科技大學,N 職,M 碩士,175,95,80,50,38,19,31,14,4,12,7, -, -, -, -, -, -, -, -,05 苗栗縣,2 技職
1063,育達科技大學,N 修,B 四技,745,440,305,118,78,105,70,74,65,113,81, -, -, -, -, -, -,30,11,05 苗栗縣,2 技職
1063,育達科技大學,N 修,C 二技,"1,102",361,741, -, -, -, -,193,364,147,354, -, -, -, -, -, -,21,23,05 苗栗縣,2 技職
1064,美和科技大學,D 日,M 碩士,147,57,90,24,39,21,27,7,15,5,8, -,1, -, -, -, -, -, -,13 屏東縣,2 技職
1064,美和科技大學,D 日,B 四技,"1,694",716,978,151,172,161,229,158,230,214,304, -, -, -, -, -, -,32,43,13 屏東縣,2 技職
1064,美和科技大學,D 日,C 二技,193,23,170, -, -, -, -,5,73,18,96, -, -, -, -, -, -, -,1,13 屏東縣,2 技職
1064,美和科技大學,D 日,5 五專,"1,625",229,"1,396",54,301,44,253,41,268,46,271,36,255, -, -, -, -,8,48,13 屏東縣,2 技職
1064,美和科技大學,N 職,M 碩士,201,36,165,11,39,11,50,8,16,5,59,1,1, -, -, -, -, -, -,13 屏東縣,2 技職
1064,美和科技大學,N 修,B 四技,423,140,283,34,65,32,64,34,81,28,54, -, -, -, -, -, -,12,19,13 屏東縣,2 技職
1064,美和科技大學,N 修,C 二技,"1,110",224,886, -, -, -, -,121,431,95,441, -, -, -, -, -, -,8,14,13 屏東縣,2 技職
1064,美和科技大學,N 修,2 二專,109,58,51,30,25,24,25, -, -, -, -, -, -, -, -, -, -,4,1,13 屏東縣,2 技職
1065,吳鳳科技大學,D 日,M 碩士,48,38,10,19,1,14,7,3, -,1,2, -, -,1, -, -, -, -, -,10 嘉義縣,2 技職
1065,吳鳳科技大學,D 日,B 四技,"2,650","1,754",896,344,197,438,205,376,225,556,248, -, -, -, -, -, -,40,21,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 職,M 碩士,63,44,19,27,8,15,11,2, -, -, -, -, -, -, -, -, -, -, -,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,B 四技,610,453,157,90,38,108,26,98,45,134,41, -, -, -, -, -, -,23,7,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,C 二技,764,355,409, -, -, -, -,195,197,157,205, -, -, -, -, -, -,3,7,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,2 二專,206,111,95,51,50,57,45, -, -, -, -, -, -, -, -, -, -,3, -,10 嘉義縣,2 技職
1066,環球科技大學,D 日,M 碩士,99,43,56,13,22,15,17,10,10,5,7, -, -, -, -, -, -, -, -,09 雲林縣,2 技職
1066,環球科技大學,D 日,B 四技,"1,265",622,643,96,83,113,77,132,164,215,268, -, -, -, -, -, -,66,51,09 雲林縣,2 技職
1066,環球科技大學,N 職,M 碩士,64,22,42,8,12,7,18,4,9, -,3,3, -, -, -, -, -, -, -,09 雲林縣,2 技職
1066,環球科技大學,N 修,B 四技,323,187,136,61,22,27,13,35,41,54,48, -, -, -, -, -, -,10,12,09 雲林縣,2 技職
1066,環球科技大學,N 修,C 二技,256,86,170, -, -, -, -,36,81,42,85, -, -, -, -, -, -,8,4,09 雲林縣,2 技職
1066,環球科技大學,N 修,2 二專,104,67,37,19,19,46,18, -, -, -, -, -, -, -, -, -, -,2, -,09 雲林縣,2 技職
1067,台灣首府大學,D 日,M 碩士,33,9,24,1,4,4,14,2,5,2,1, -, -, -, -, -, -, -, -,11 臺南市,1 一般
1067,台灣首府大學,D 日,B 學士,223,102,121, -, -,6,10,13,20,56,84, -, -, -, -, -, -,27,7,11 臺南市,1 一般
1067,台灣首府大學,P 進,B 學士,81,46,35, -, -,8,10,11,9,15,16, -, -, -, -, -, -,12, -,11 臺南市,1 一般
1068,中州科技大學,D 日,B 四技,288,183,105, -, -,15,12,50,15,98,70, -, -, -, -, -, -,20,8,07 彰化縣,2 技職
1068,中州科技大學,N 職,M 碩士,5,2,3, -, -,1,2, -, -,1,1, -, -, -, -, -, -, -, -,07 彰化縣,2 技職
1068,中州科技大學,N 修,B 四技,294,210,84, -, -,35,16,77,27,64,29, -, -, -, -, -, -,34,12,07 彰化縣,2 技職
1068,中州科技大學,N 修,C 二技,290,79,211, -, -, -, -, -, -,74,206, -, -, -, -, -, -,5,5,07 彰化縣,2 技職
1068,中州科技大學,N 修,2 二專,30,1,29, -, -, -,25, -, -, -, -, -, -, -, -, -, -,1,4,07 彰化縣,2 技職
1069,修平科技大學,D 日,M 碩士,90,50,40,23,23,20,15,5, -,2,2, -, -, -, -, -, -, -, -,06 臺中市,2 技職
1069,修平科技大學,D 日,B 四技,"2,466","1,785",681,349,189,354,112,456,164,517,186, -, -, -, -, -, -,109,30,06 臺中市,2 技職
1069,修平科技大學,N 職,M 碩士,61,44,17,21,10,20,7,3, -, -, -, -, -, -, -, -, -, -, -,06 臺中市,2 技職
1069,修平科技大學,N 修,B 四技,"1,168","1,072",96,224,26,255,19,262,25,265,22, -, -, -, -, -, -,66,4,06 臺中市,2 技職
1069,修平科技大學,N 修,C 二技,624,445,179, -, -, -, -,236,98,201,79, -, -, -, -, -, -,8,2,06 臺中市,2 技職
1069,修平科技大學,N 修,2 二專,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -,06 臺中市,2 技職
1070,長庚科技大學,D 日,M 碩士,70,5,65,2,36,2,16,1,9, -,4, -, -, -, -, -, -, -, -,03 桃園市,2 技職
1070,長庚科技大學,D 日,B 四技,"3,392",473,"2,919",128,700,132,734,104,728,102,748, -, -, -, -, -, -,7,9,03 桃園市,2 技職
1070,長庚科技大學,D 日,C 二技,"1,445",117,"1,328", -, -, -, -,59,665,57,656, -, -, -, -, -, -,1,7,03 桃園市,2 技職
1070,長庚科技大學,N 職,M 碩士,161,4,157,2,45,1,41, -,32,1,23, -,10, -,4, -,2, -, -,03 桃園市,2 技職
1070,長庚科技大學,N 修,C 二技,"1,203",89,"1,114", -, -, -, -,40,575,47,513, -,18, -, -, -, -,2,8,03 桃園市,2 技職
1071,臺北城市科技大學,D 日,M 碩士,88,66,22,26,11,21,9,14,2,5, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,B 四技,"6,496","4,046","2,450",911,720,867,447,934,502,990,611, -, -, -, -, -, -,344,170,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,C 二技,7,4,3, -, -, -, -, -, -,4,3, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,2 二專,20,16,4,16,4, -, -, -, -, -, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,5 五專,838,522,316,76,51,108,57,98,63,125,71,95,64, -, -, -, -,20,10,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,B 四技,729,566,163,158,46,129,33,130,37,126,40, -, -, -, -, -, -,23,7,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,C 二技,466,230,236, -, -, -, -,115,118,112,116, -, -, -, -, -, -,3,2,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,2 二專,341,193,148,96,77,90,68, -, -, -, -, -, -, -, -, -, -,7,3,30 臺北市,2 技職
1072,敏實科技大學,D 日,B 四技,348,235,113,64,71,56,12,83,13,17,13, -, -, -, -, -, -,15,4,04 新竹縣,2 技職
1072,敏實科技大學,D 日,5 五專,114,59,55,16,9,7,7,8,9,12,18,14,8, -, -, -, -,2,4,04 新竹縣,2 技職
1072,敏實科技大學,N 修,B 四技,101,49,52,10,19,5,11,17,11,10,8, -, -, -, -, -, -,7,3,04 新竹縣,2 技職
1073,醒吾科技大學,D 日,M 碩士,61,23,38,10,16,6,11,7,11, -, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1073,醒吾科技大學,D 日,B 四技,"5,259","2,327","2,932",492,667,600,817,596,690,514,681, -, -, -, -, -, -,125,77,01 新北市,2 技職
1073,醒吾科技大學,D 日,5 五專,241,92,149,12,17,19,25,22,29,19,27,18,47, -, -, -, -,2,4,01 新北市,2 技職
1073,醒吾科技大學,N 職,M 碩士,82,39,43,18,25,8,7,3,4, -, -,10,4, -,3, -, -, -, -,01 新北市,2 技職
1073,醒吾科技大學,N 修,B 四技,616,281,335,95,127,55,70,53,44,56,66, -, -, -, -, -, -,22,28,01 新北市,2 技職
1073,醒吾科技大學,N 修,C 二技,356,156,200, -, -, -, -,65,87,86,108, -, -, -, -, -, -,5,5,01 新北市,2 技職
1073,醒吾科技大學,N 修,2 二專,72,35,37,17,25,14,10, -, -, -, -, -, -, -, -, -, -,4,2,01 新北市,2 技職
1075,文藻外語大學,D 日,M 碩士,222,60,162,20,51,19,41,14,39,6,30,1,1, -, -, -, -, -, -,50 高雄市,2 技職
1075,文藻外語大學,D 日,B 四技,"4,428","1,304","3,124",285,627,300,712,312,722,304,846, -, -, -, -, -, -,103,217,50 高雄市,2 技職
1075,文藻外語大學,D 日,C 二技,160,21,139, -, -, -, -,6,48,10,56, -, -, -, -, -, -,5,35,50 高雄市,2 技職
1075,文藻外語大學,D 日,5 五專,"1,785",305,"1,480",66,357,73,324,62,292,54,277,46,211, -, -, -, -,4,19,50 高雄市,2 技職
1075,文藻外語大學,N 職,M 碩士,56,19,37,9,7,4,11,3,9,1,2,1,6, -,2,1, -, -, -,50 高雄市,2 技職
1075,文藻外語大學,N 修,B 四技,"1,155",450,705,59,94,75,119,126,169,106,208, -, -, -, -, -, -,84,115,50 高雄市,2 技職
1075,文藻外語大學,N 修,C 二技,124,26,98, -, -, -, -,12,45,9,38, -, -, -, -, -, -,5,15,50 高雄市,2 技職
1076,華夏科技大學,D 日,M 碩士,30,25,5,7,2,14,1,4,2, -, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1076,華夏科技大學,D 日,B 四技,"1,041",697,344,94,32,149,63,176,80,210,139, -, -, -, -, -, -,68,30,01 新北市,2 技職
1076,華夏科技大學,D 日,C 二技,57,50,7, -, -, -, -,14,3,28,4, -, -, -, -, -, -,8, -,01 新北市,2 技職
1076,華夏科技大學,D 日,5 五專,517,409,108,59,13,78,23,111,29,68,18,84,25, -, -, -, -,9, -,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,52,39,13,16,2,16,8,4,2,3,1, -, -, -, -, -, -, -, -,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,658,379,279,68,59,58,57,150,48,81,104, -, -, -, -, -, -,22,11,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,426,263,163, -, -, -, -,118,83,123,79, -, -, -, -, -, -,22,1,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,36,4,32, -,17, -,10, -, -, -, -, -, -, -, -, -, -,4,5,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,80,26,54,12,17,6,14,8,18, -,5, -, -, -, -, -, -, -, -,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,"1,159",445,714,94,144,112,192,98,182,118,188, -, -, -, -, -, -,23,8,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,285,39,246, -, -, -, -,22,122,16,123, -, -, -, -, -, -,1,1,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,2 二專,20,2,18,2,18, -, -, -, -, -, -, -, -, -, -, -, -, -, -,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,"1,300",184,"1,116",35,215,28,212,44,244,40,227,31,185, -, -, -, -,6,33,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,B 四技,1,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,174,21,153, -, -, -, -,13,83,7,66, -, -, -, -, -, -,1,4,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,2 二專,3,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3, -,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,47,11,36,4,18,5,10,2,5, -,3, -, -, -, -, -, -, -, -,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,"6,439","2,154","4,285",532,977,505,"1,059",524,"1,009",441,"1,061", -, -, -, -, -, -,152,179,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,212,38,174, -, -, -, -,19,82,18,88, -, -, -, -, -, -,1,4,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,"1,576",366,"1,210",85,247,64,241,73,254,74,238,65,208, -, -, -, -,5,22,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,47,14,33,7,13,4,13,1,3,2,3, -,1, -, -, -, -, -, -,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,"2,906","1,214","1,692",262,293,255,404,261,409,289,422, -, -, -, -, -, -,147,164,01 新北市,2 技職
1078,致理科技大學,N 修,C 二技,99,28,71, -, -, -, -,28,70, -, -, -, -, -, -, -, -, -,1,01 新北市,2 技職
1079,康寧大學,D 日,M 碩士,2, -,2, -, -, -, -, -,1, -,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
1079,康寧大學,D 日,B 學士,183,36,147,4,26,11,34,9,41,10,37, -, -, -, -, -, -,2,9,30 臺北市,1 一般
1079,康寧大學,D 日,5 五專,"2,635",599,"2,036",124,443,126,403,129,416,118,347,88,373, -, -, -, -,14,54,30 臺北市,2 技職
1079,康寧大學,N 職,M 碩士,7,4,3, -, -, -, -, -, -,2,2,2,1, -, -, -, -, -, -,30 臺北市,1 一般
1079,康寧大學,N 修,C 二技,186,18,168, -, -, -, -,9,87,9,80, -, -, -, -, -, -, -,1,30 臺北市,2 技職
1079,康寧大學,N 修,2 二專,177,44,133,24,65,20,68, -, -, -, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1079,康寧大學,P 進,B 學士,2, -,2, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
1080,宏國德霖科技大學,D 日,M 碩士,56,35,21,7,8,27,12,1,1, -, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,B 四技,"1,726","1,056",670,200,147,219,157,238,146,309,187, -, -, -, -, -, -,90,33,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,C 二技,58,18,40, -, -, -, -,4,17,14,22, -, -, -, -, -, -, -,1,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,5 五專,"1,107",649,458,130,111,157,88,127,92,118,77,98,79, -, -, -, -,19,11,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,B 四技,966,594,372,126,89,121,73,134,72,169,113, -, -, -, -, -, -,44,25,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,C 二技,776,477,299, -, -, -, -,245,149,216,145, -, -, -, -, -, -,16,5,01 新北市,2 技職
1081,東方設計大學,D 日,D 博士,26,11,15,2,3,4,1,2,3, -,4, -,1,1,1,2,2, -, -,12 高雄市,2 技職
1081,東方設計大學,D 日,M 碩士,64,31,33,14,19,11,5,2,5,4,4, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1081,東方設計大學,D 日,B 四技,312,174,138,5,9,7,4,28,26,46,44, -, -, -, -, -, -,88,55,12 高雄市,2 技職
1081,東方設計大學,D 日,C 二技,19,10,9, -, -, -, -,3,5,6,4, -, -, -, -, -, -,1, -,12 高雄市,2 技職
1081,東方設計大學,D 日,5 五專,290,136,154,12,11,10,15,20,43,45,40,41,39, -, -, -, -,8,6,12 高雄市,2 技職
1081,東方設計大學,N 職,M 碩士,24,10,14,5,7,5,4, -,2, -,1, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1081,東方設計大學,N 修,B 四技,33,25,8, -, -, -, -,7,5,12,2, -, -, -, -, -, -,6,1,12 高雄市,2 技職
1081,東方設計大學,N 修,C 二技,134,76,58, -, -, -, -,24,21,32,26, -, -, -, -, -, -,20,11,12 高雄市,2 技職
1081,東方設計大學,N 修,2 二專,48,29,19,8,3,15,10, -, -, -, -, -, -, -, -, -, -,6,6,12 高雄市,2 技職
1082,崇右影藝科技大學,D 日,M 碩士,44,25,19,6,9,6,5,6,4,6,1,1, -, -, -, -, -, -, -,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,B 四技,"1,314",582,732,142,149,97,149,86,140,196,268, -, -, -, -, -, -,61,26,17 基隆市,2 技職
1082,崇右影藝科技大學,N 修,C 二技,4,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3,1,17 基隆市,2 技職
1082,崇右影藝科技大學,N 修,2 二專,2,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1,17 基隆市,2 技職
1083,台北海洋科技大學,D 日,M 碩士,143,87,56,47,26,28,24,7,1,4,5,1, -, -, -, -, -, -, -,01 新北市,2 技職
1083,台北海洋科技大學,D 日,B 四技,"2,092","1,193",899,324,249,323,212,191,178,245,208, -, -, -, -, -, -,110,52,01 新北市,2 技職
1083,台北海洋科技大學,D 日,C 二技,170,121,49, -, -, -, -,53,19,60,28, -, -, -, -, -, -,8,2,01 新北市,2 技職
1083,台北海洋科技大學,D 日,2 二專,32,31,1,10, -,21,1, -, -, -, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1083,台北海洋科技大學,D 日,5 五專,607,370,237,90,32,72,58,74,39,79,55,40,47, -, -, -, -,15,6,01 新北市,2 技職
1083,台北海洋科技大學,N 修,B 四技,242,101,141,33,60,28,28,16,36,21,14, -, -, -, -, -, -,3,3,01 新北市,2 技職
1083,台北海洋科技大學,N 修,C 二技,599,270,329, -, -, -, -,148,182,121,142, -, -, -, -, -, -,1,5,01 新北市,2 技職
1083,台北海洋科技大學,N 修,2 二專,122,113,9,71,6,37,3, -, -, -, -, -, -, -, -, -, -,5, -,01 新北市,2 技職
1084,亞東科技大學,D 日,M 碩士,53,39,14,18,6,12,4,8,2,1,2, -, -, -, -, -, -, -, -,01 新北市,2 技職
1084,亞東科技大學,D 日,B 四技,"3,537","2,566",971,548,200,584,233,642,251,669,267, -, -, -, -, -, -,123,20,01 新北市,2 技職
1084,亞東科技大學,D 日,C 二技,180,13,167, -, -, -, -,8,85,5,82, -, -, -, -, -, -, -, -,01 新北市,2 技職
1084,亞東科技大學,N 修,C 二技,151,4,147, -, -, -, -,4,44, -,52, -,50, -, -, -, -, -,1,01 新北市,2 技職
1125,中信金融管理學院,D 日,M 碩士,107,50,57,32,30,13,19,5,8, -, -, -, -, -, -, -, -, -, -,21 臺南市,1 一般
1125,中信金融管理學院,D 日,B 學士,776,457,319,103,98,147,79,104,81,95,59, -, -, -, -, -, -,8,2,21 臺南市,1 一般
1125,中信金融管理學院,N 職,M 碩士,42,25,17,21,9,4,8, -, -, -, -, -, -, -, -, -, -, -, -,21 臺南市,1 一般
1148,大漢技術學院,D 日,M 碩士,77,47,30,20,10,16,15,11,5, -, -, -, -, -, -, -, -, -, -,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,B 四技,141,83,58,12,7,15,10,22,15,28,20, -, -, -, -, -, -,6,6,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,B 四技,285,175,110,44,36,37,25,52,22,34,20, -, -, -, -, -, -,8,7,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,C 二技,189,108,81, -, -, -, -,55,37,51,39, -, -, -, -, -, -,2,5,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,2 二專,92,40,52,14,27,25,25, -, -, -, -, -, -, -, -, -, -,1, -,15 花蓮縣,2 技職
1159,和春技術學院,D 日,B 四技,24,19,5, -, -, -, -,7,1,9,2, -, -, -, -, -, -,3,2,12 高雄市,2 技職
1159,和春技術學院,D 日,5 五專,8,6,2, -, -, -, -, -, -,3, -,2,2, -, -, -, -,1, -,12 高雄市,2 技職
1159,和春技術學院,N 修,B 四技,19,16,3, -, -, -, -,6, -,7,2, -, -, -, -, -, -,3,1,12 高雄市,2 技職
1159,和春技術學院,N 修,C 二技,11,9,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -,9,2,12 高雄市,2 技職
1159,和春技術學院,N 修,2 二專,7,5,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -,5,2,12 高雄市,2 技職
1168,南亞技術學院,D 日,M 碩士,4,3,1, -, -, -, -,1, -,2,1, -, -, -, -, -, -, -, -,03 桃園市,2 技職
1168,南亞技術學院,D 日,B 四技,"1,067",728,339,179,52,119,66,180,96,206,100, -, -, -, -, -, -,44,25,03 桃園市,2 技職
1168,南亞技術學院,D 日,5 五專,132,76,56, -, -,20,10,12,14,22,11,15,20, -, -, -, -,7,1,03 桃園市,2 技職
1168,南亞技術學院,N 修,B 四技,287,165,122,29,34,24,25,29,30,69,27, -, -, -, -, -, -,14,6,03 桃園市,2 技職
1168,南亞技術學院,N 修,C 二技,827,210,617, -, -, -, -,124,303,77,305, -, -, -, -, -, -,9,9,03 桃園市,2 技職
1168,南亞技術學院,N 修,2 二專,3,2,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2,1,03 桃園市,2 技職
1183,黎明技術學院,D 日,B 四技,"3,393","1,738","1,655",423,425,371,410,390,367,425,368, -, -, -, -, -, -,129,85,01 新北市,2 技職
1183,黎明技術學院,D 日,5 五專,353,285,68,67,16,62,14,58,16,42,10,47,10, -, -, -, -,9,2,01 新北市,2 技職
1183,黎明技術學院,N 修,B 四技,"1,268",853,415,306,143,169,78,165,89,170,94, -, -, -, -, -, -,43,11,01 新北市,2 技職
